"BG_research_ref_no","Dokument Titel","Dokument Autor","Dokument Typ","Dokument Datum","Dokument Sprache","Dokument Standort","Künstler/Theoretiker","Schlagwort Thema","Schlagwort Ort, Land","Anmerkungen","budget for","transport necessary","presentation","translation/subtitles","Placement in the exhibition"
"BG_001","Os Flexors desejam feliz Ano Novo","Samson Flexor","Aquarelle",1967,"Portuguese (BR)","VFAB (black cabinet) ","Samson Flexor","Gestalt","Brazil","Related to Article on Flexor VFAB (59) M2-17 /BG_004",,"no","mounting",,"Robion"
"BG_002","La Philosophie des petits points","Colditz, Christine","C-Print of painting",1988,"French","VFAB (black cabinet) ","Colditz, Christine",,"Germany",,,"no","mounting",,"Robion"
"BG_003","POINT/GO","hespos/hans-joachim","7” vinyl record","1971?","Deutsch","VFAB (black cabinet) ","hespos/hans-joachim","Musik","Germany","hespos edition HP001 A/B  GEMA",,"no","mounting",,"Robion"
"BG_004","Na Crista do Dilema","Vilém Flusser","newspaper article","06/07/1968","Portuguese (BR)","VFAB (59) M2-17","Flexor, Samson","anthropomorphic figures","Brazil","published in O Estado de Sao Paolo: features image of Flexor: 'La Minotaure' 1968",,"no",,"translation ","Sao Paolo"
"BG_005","Flexor e o nóv0 homem","Vilém Flusser","newspaper article","06/12/1969","Portuguese (BR)","VFAB (96) M3-11","Flexor, Samson","“art quand mème”","Brazil","published in O Estado de Sao Paolo: feature's reproductions of “Aquarela” 1968, “Oleo s/ tela”, 1969",,"no",,"translation ","Sao Paolo"
"BG_006","Flexor o modêlo","Vilém Flusser","newspaper article","01/10/1969","Portuguese (BR)","VFAB (90) M3-05","Flexor, Samson","obituary","Brazil","published in O Estado de Sao Paolo",,"no",,"translation ","Sao Paolo"
"BG_007","O declíno e o ocaso do alfabeto","Vilém Flusser","newspaper article","22/01/1978","Portuguese (BR)","VFAB (155) M3-36","Xandó, Niobe (1915 - 2010)","literacy/ post-apocalyptic","Brazil","published in O Estado de Sao Paolo: features image of “Compos novos de Paranapanema” (Paranapanema was Xandó's birthplace)",,"no",,"translation ","Sao Paolo"
"BG_008","O prêto é Belo","Vilém Flusser","newspaper article","18/04/1971","Portuguese (BR)","VFAB (68) M2-26","Xandó, Niobe (1915 – 2010)","racial and cultural encounters and influence in Brazil","Brazil","published in O Estado de Sao Paolo:features uncaptioned image by Xandó",,"no",,"translation ","Sao Paolo"
"BG_009","Movimento e estructura","Vilém Flusser","newspaper article","03/02/1968","Portuguese (BR)","VFAB (58) M2-16","Ely Bueno","structures and movement","Brazil","published in O Estado de Sao Paolo: features reproduction of “Quadro” with two detail images. ",,"no",,"translation ","Sao Paolo"
"BG_010","Diacronia e diafaneidade I","Vilém Flusser","newspaper article","26/04/1969","Portuguese (BR)","VFAB (62) M2-20","Schendel, Mira","temporality, meóvement, artist","Brazil","published in O Estado de Sao Paolo: with a reproduction of “Carto-pretexto a Max Bense e Pretexto sôbre a tema alle”",,"no",,"translation ","Sao Paolo"
"BG_011","Diacronia e diafaneidade II","Vilém Flusser","newspaper article","03/05/1969","Portuguese (BR)","VFAB (54) M2-12","Schendel, Mira","opacity, transparency,","Brazil","published in O Estado de Sao Paolo, with reproductions of a photograph of here exhibition at the XXXIV Venice Biennale, “Petexto sôbre a origem de “A”, “Pretexto sôbre “A””",,"no",,"translation ","Sao Paolo"
"BG_012","Indagaçôes sôbre a origem da lingua","Vilém Flusser","newspaper article","29/04/1967","Portuguese (BR)",,"Schendel, Mira","language, literacy, script","Brazil","published in O Estado de Sao Paolo, features a reproduction of one or two unnamed works by Schendel which according to Rachel Costa were in the Flussers' collection",,"no",,"translation ","Sao Paolo"
"BG_013","untitled_cards","Samson Flexor","Christmas-type cards (5)","1979?","-","VFAB (black cabinet) ","Flexor, Samson",,"Brazil","approximately A5 folded, >250g paper – 5 copies, one is damaged",,"no",,,"Robion"
"BG_014","Tapêtes","Vilém Flusser","newspaper article","17/10/70","Portuguese (BR)","VFAB(98) M3-13","Edmar de Almeida","tapestry","Brazil","published in O Estado de Sao Paolo, freatures a reproduction of an unknown work.., also see “Tapeçarias” in Flusser, Vilém(1998):Ficções Filosóficas, Editoria da Universidade de São Paolo Ch. 21 pp 137-141",,"no",,"translation ","Sao Paolo"
"BG_015","Flexor im Memoriam","Vilém Flusser","Catalog Text",1990,"Portuguese (BR)","VFAB","Samson Flexor","model, modernity, future","Brazil","Brill, Alice (1990) Samson Flexor: do Figurativismoao abstracionismo, Èditore da Universidade de São Paolo pp.199-202",,"no",,,"Robion"
"BG_016","Flussers Prag","SZ/BG/Team","single channel video/interactive audio-visual map","not made yet","N/A","doesn't exist yet/Berlin","SZ/BG/Team","biographie",,,,,,,"Prag"
"BG_017","texts from correspondence with Alex Bloch","Vilém Flusser","text projected on surface","not made yet","German","doesn't exist yet/Berlin","Vilém Flusser","immigration, einwanderung, korrespondenz, dialog, ","Brazil",,"preparing materials for slides","no","slide projector",,"Sao Paolo"
"BG_018","“Compos novos de Paranapanema”","Niobe Xando","painting","1970s",,"Brasil","Niobe Xando","autochtone, brasilia","Brazil","  painting mounted on the wall",,"yes",,,"Sao Paolo"
